SKU,Product,Original Price,Discounted Price
2BNC10,"Cablu BNC 10 metri pentru camere de supraveghere, 2BNC10",12.99,12.37
SKU-11169,"Fasete de prindere, plastic, 3.5 mm x 250 mm, negre, 100 bucati, V-TAC, SKU-11169",12.99,10.0
SAF-KITBALUN4K-3P,"Set Videobaluni 4K Safer, CVI / TVI / AHD / CVBS, pentru cablu CAT 5 / 5E / 6, pana la 400m, SAF-KITBALUN4K-3P",14.99,10.0
2BNC20,"Cablu camere supraveghere BNC + 1 Alimentare 20 m, 2BNC20",14.99,14.28
RB-1133,Ruleta metalica 5 metri - 25mm,14.99,12.5
RB-1131,"Ruleta Rebel, lungime 5m, latime 25mm, RB-1131",14.99,14.0
W-413,"Set 10 bucati conector, 3 fire, 0.08 mm² la 2.5 mm², W-413",15.99,15.0
ZLA0964,"Protectie supratensiune F TATA F MAMA, ZLA0964",16.80,15.5
SFTP6A-5M-B,"Patchcord S/FTP Cat 6A, 5 Metri, Albastru , SFTP6A-5M-B, SAFER",16.99,12.39
SFTP6A-5M-BL,"Patchcord S/FTP Cat 6A, 5 Metri, Negru , SFTP6A-5M-BL, SAFER",16.99,12.39
SFTP6A-5M-R,"Patchcord S/FTP Cat 6A, 5 Metri, Rosu , SFTP6A-5M-R, SAFER",16.99,12.39
SFTP6A-5M-Y,"Patchcord S/FTP Cat 6A, 5 Metri, Galben , SFTP6A-5M-Y, SAFER",16.99,12.39
SKU-11174,"Fasete de prindere, plastic, 4.5 mm x 300 mm, negre, 100 bucati, V-TAC, SKU-11174",16.99,15.0
SFTP6A-5M,"Patchcord S/FTP Cat 6A, 5 Metri, Gri , SFTP6A-5M, SAFER",16.99,12.39
SFTP6A-5M-G,"Patchcord S/FTP Cat 6A, 5 Metri, Verde , SFTP6A-5M-G, SAFER",16.99,12.39
10xBNC+F,Set 10 Buc - BNC Tata + F Mama,16.99,14.99
10xBNC+F,Set 10 Buc - BNC Tata + F Mama,16.99,14.99
CUTIE180X110X75,"Cutie plastic cu presetupe, CUTIE180X110X75",17.99,17.0
MIE-RB-02,"Detector tensiune 90-1000V AC, 2x baterii AAA, Rebel MIE-RB-02",17.99,17.0
EG-UC2A-03-W,"Incarcator USB 5V 2A, Pentru camere de supraveghere s.a. Gembird EG-UC2A-03-W",17.99,16.5
PC-SC-APC/SC-APC-3,Patchcord Single Mode 3M SC/APC-SC/APC,17.99,17.3
TF-C100/32GB,Card de memorie pentru stocare video Micro SD 32GB Clasa 10 Dahua TF-C100/32GB,18.99,16.0
AUSDH32GUICL10-RA1,"CARD MicroSD ADATA 32 GB, MicroSDHC clasa 10 AUSDH32GUICL10-RA1",18.99,16.0
DS-380/385,"Sistem de prindere pentru montare DVR/NVR in RACK-urile de tip 19"", Hikvision DS-380/385",18.99,17.0
AUV240-32G-RBK,"Memorie USB 2.0 ADATA, 32 GB - AUV240-32G-RBK",18.99,17.0
MICROSD32-IMOU,"Card MicroSD, 32GB, Clasa 10, citire 95 Mbps, scriere 25 Mbps, IMOU, MICROSD32-IMOU",18.99,18.0
CC-DP2-6,"Cablu video, monitor display port (T) la display port (T), rezolutie 4K, lungime 1.8m, CC-DP2-6",19.99,18.8
URZ3070-1.5,"Prelungitor 3 prize, 1.5m, alb, Kemot, URZ3070-1.5",19.99,17.85
EDL2008,Cleste combinat 200mm Deli EDL2008,19.99,17.9
HDMI-ETHERNET-5M,"Cablu HDMI 1.4 19p ecranat, 5m, HDMI-ETHERNET-5M",19.99,16.0
10X222-412,"Set conector 2 poli pentru doza 0,08 - 2,5mm fir litat 10 bucati",19.99,19.99
HDMI-ECRANAT-5M,"Cablu HDMI 1.4 ,19p ecranat, 5 m, HDMI-ECRANAT-5M",19.99,19.0
PA2W,"Alimentator de exterior, 2.5 A, capsulat, pentru supraveghere video, PA2W",19.99,18.0
PC-SFC14M-01,Cablu adaptor C14 tata - Schuko mama pentru UPS,19.99,18.0
NAR0876,"Set tuburi termocontractabile, 100 de bucati, lungime 100mm, multicolor, NAR0876",19.99,18.0
EDL2108,Cleste patent cioc lung 200mm Deli EDL2108,19.99,17.9
EDL2207,Cleste patent oblic 180mm Deli EDL2207,19.99,17.9
MIE-RB-830,Multimetru Digital universal REBEL MIE-RB-830,19.99,19.0
L3213,Patchcord 1M SC-FC simplex singlemode L3213,19.99,17.85
TF-C100/64GB,"Card de memorie pentru stocare video Micro SD 64GB Clasa 10 Dahua, TF-C100/64GB",19.99,19.0
LZ-1,Distribuitor alimentare CCTV 8 canale 4A LZ-1,19.99,18.0
YALARACK,Yala pt usile laterale de rack,19.99,16.0
MICROSD64-IMOU,"Card MicroSD, 64GB, Clasa 10, citire 95 Mbps, scriere 38 Mbps, IMOU, MICROSD64-IMOU",19.99,17.0
KPO3869,"Cablu adaptor VGA, 15pini tata, 2 x 15 pini mama, KPO3869",21.25,20.5
SDCS/32GB,"SD Card 32GB card memorie Kingston Clasa 10, SDCS/32GB",21.99,19.0
AUV240-64G-RBK,"Memorie USB 64Gb, 2.0 ADATA, Stick USB - AUV240-64G-RBK",21.99,20.0
UV-M501G,Microfon pentru camere de supraveghere BOX UV-M501G,22.99,20.16
PFM321D-EN,"Alimentator 12V1A Dahua, PFM321D-EN",22.99,19.0
TEL0004Ax100,Set mufa RJ45 UTP/ FTP cu 8 pini 100 bucati,22.99,19.99
TEL0004Ax100,Set mufa RJ45 UTP/ FTP cu 8 pini 100 bucati,22.99,19.99
DCMx50,Pachet 50 x Mufa alimentare TATA cu surub,23.99,22.99
DCMx50,Pachet 50 x Mufa alimentare TATA cu surub,23.99,22.99
IP6612V2A,Alimentator 12V-2Ah pentru exterior watherproof IP66,23.99,23.0
SPMS-3-WH,"Triplu Stecher, 3500W, 16A, protectie copii, 3 prize Schuko, 1 stecher Schuko, Spacer, SPMS-3-WH",24.99,18.0
L34113,"Patchcord fibra SC-SC Duplex Single Mode Ultimode PC-511D, lungime 3m, L34113",24.99,23.0
MIE-RB-830BUZ,Multimetru universal REBEL MIE-RB-830BUZ,24.99,23.0
SAF-1260ZJ,"Doza pentru conexiuni din aluminiu, 63x63 mm, pentru camere bullet cu diametru de 88.5 mm, Safer SAF-1260ZJ",24.99,21.0
L32153,Patchcord 3M SC-LC simplex singlemode L32153,24.99,23.0
L32113,Patchcord 3M SC-SC simplex singlemode,24.99,23.0
CSKP,"Cleste pentru sertizare cabluri de retea in prize, de tip KRONE, CSKP",24.99,22.0
RB-1134,Ruleta metalica 10 metri - 25mm,24.99,23.0
UTPPOW10M,"Cablu UTP + Alimentare gata mufat 10 metri, UTPPOW10M",24.99,19.0
EG-U2C2A-03-W,"Alimentator USB 5V 2.1A cu 2 porturi si functie Smart Charge, pentru camere video, Smartphone s.a. EG-U2C2A-03-W",24.99,24.0
28662,Patent combinat 200mm manere ergonomice din PVC,25.99,23.1
SAF-PFA135,"Doza rotunda pentru conexiuni, rezistenta la apa IP66, aluminu, Safer, SAF-PFA135",25.99,23.21
AUSDX64GUICL10-RA1,"CARD MicroSD ADATA 64GB Clasa 10, AUSDX64GUICL10-RA1",25.99,24.0
PFA103,"Adaptor montaj Dahua, PFA103",25.99,22.0
MIE-RB-03,"Detector de tensiune in perete, fara contact, 50-1000V, Rebel MIE-RB-03",25.99,25.0
SPT-BITS-32,Trusa surubelnite 32 de piese,26.99,25.0
28428,Cleste universal pentru dezizolare si sertizare fire cuprinse intre 0.75-6.0 28428,26.99,24.0
SDCS/64GB,"SD Card 64GB card memorie Kingston Clasa 10, SDCS2/64GB, potrivit pentru supraveghere video",26.99,26.0
UTPPOW15M,Cablu UTP + Alimentare gata mufat 15 metri UTPPOW15M,26.99,25.5
SF105C,"Switch cu 5 porturi 100 Mbps RJ45, Imou SF105C",26.99,25.0
ORGAN-INELE,"Organizator cu inele pentru rack 19 inch, 5 inele, negru, ORGAN-INELE",26.99,25.0
SAF-PFA137,"Doza rotunda din aluminu pentru conexiuni, Safer, SAF-PFA137",26.99,24.13
PP6U-10M,"Patchcord retea CAT6 10M Gri, PP6U-10M",26.99,20.0
