SKU,Product,Original Price,Discounted Price
MYYM3X1,Cablu MYYM 3x1mm 100m/rola,204.99,195.0
MYYM2X1.5,"Cablu de alimentare flexibil Myym 2x1,5 mm, MYYM2X1.5",208.99,199.0
32-440/6020,"Cutie / Tablou din Plastic ABS, 60x40x20cm, pentru instalare in exterior IP65, 32-440/6020",209.99,202.0
UPLI-LI060KE-CG01B,"Ups 600VA/360W cu AVR 2 prize Njoy Keen 600, UPLI-LI060KE-CG01B",209.99,204.0
HS-SSD-E100-512G,"Solid State Disk (SSD) - 512 GB Hikvision 2.5"", SATA III HS-SSD-E100-512G",211.99,206.0
KITACC4-1,Kit accesorii sisteme de supraveghere 4 camere,211.99,181.99
KITACC4-1,Kit accesorii sisteme de supraveghere 4 camere,211.99,181.99
KITACC4-1,Kit accesorii sisteme de supraveghere 4 camere,211.99,181.99
CASLED100W,"Proiector cu led SMD 100W, pentru exterior IP65 SLIM, lumina rece, negru",216.99,205.0
AUSDX512GUI3V30SA2,"Micro SD Card 512GB Clasa 10 ADATA UHS-I U3 cu adaptor, AUSDX512GUI3V30SA2",218.99,215.0
FS-MK2015,"Derulator cu cablu 3 x 1,5 CUPRU, 20ML, 4-PRIZE SCHUKO cu siguranta termica, FS-MK2015",219.99,210.0
CP-5005,Cutie ABS cu incuietoare si contrapanou metalic 40X60X20 USA Mata IP65,219.99,211.0
UPLI-LI060KU-CG01B,"UPS 600VA/360W cu AVR si 2 prize, Njoy Keen 600, UPLI-LI060KU-CG01B",224.99,219.0
GPZ-JJ-SC24-APC,"Patch Panel pentru Fibra Optica 24 adaptori SC/APC, 24 de suduri optice, 482x250x44.5 GPZ-JJ-SC24-APC",229.99,225.0
UPCSBLS665TRECG01B,"UPS pentru supraveghere video si sisteme de securitate Njoy Renton 650, 360W, 4 prize, UPCSBLS665TRECG01B",229.99,222.0
RB-4020,"UPS pentru supraveghere video si sisteme de securitate NANOPOWER 650VA, 360W, 2 prize, Rebel RB-4020",229.99,220.0
HDMI-EX-4,"HDMI Extender pe cablu FTP, 40 metri, HDMI-EX-4",229.99,203.0
FS-UK2025,"Cablu cupru 3 x 2.5, 20M, cu stecher si cupla, negru, FS-UK2025",229.99,210.0
IT006,"Termometru cu infrarosu fara atingere, scanare 5-10 cm",229.99,227.0
UT673A,Tester pentru baterii 12/24V UNI-T UT673A,234.99,222.0
DH-PFM922I-6UN-C-100,"Cablu UTP CAT6, rola 100 m, CCA, DH-PFM922I-6UN-C-100 Dahua",239.99,219.0
WD11PURZ,"Hard Disk 1 Terra Bytes Western Digital HDD 1TB, 3.5"", cache 64MB, WD11PURZ",239.99,235.0
UPS600VA-WH,"UPS 600VA - 360W functie Auto start 2 prize Shuko ALB, UPS600VA-WH",244.99,235.0
PWUP-LI060H1-AZ01B,"UPS NJOY Horus 600VA 360W, PWUP-LI060H1-AZ01B",248.99,239.0
RACKFANFT2,"Cooler Pentru Rack cu 2 ventilatoare, compatibil cu rack-uri de 19"", RACKFANFT2",249.99,235.0
KAB0003-305TED,"Cablu coaxial RG6 cu tresa, Tri-Shield, Miez CCS, 305m KAB0003-305TED",249.99,235.0
TED003966,"UPS cu stabilizator, 700VA, 400W, Ecran LED, 2x Schuko, IP20, TED TED003966",252.99,223.0
AVRL-20002AL-CS01B,"Stabilizator de tensiune nJoy Alvis 2000, 2000V / 1200W, eficienta 95%, 2 prize schuko, ecran digital, AVRL-20002AL-CS01B",254.99,247.0
RACK 4U,"Rack pentru perete 4U 19'' Negru 600X450, RACK 4U",254.99,237.0
UPLI-LI080KE-CG01B,"Ups 800VA/480W cu AVR si 2 prize Njoy Keen 800, UPLI-LI080KE-CG01B",254.99,245.0
RB-4021,"UPS pentru supraveghere video si sisteme de securitate NANOPOWER 850VA, 480W, 2 prize, Rebel RB-4021",259.99,246.0
MYYM4X1,"Cablu MYYM CCA 4x1mm 100m/rola, MYYM4X1",267.99,260.0
PFM350-360,"UPS cu AVR, 600VA/360W, cu unda sinusoidala simulata, protectie la supraincarcare, Dahua PFM350-360",267.99,226.0
TW100S,"Cablu coaxial CUPRU INTEGRAL RG6 + 2X0,75 alimentare 100M Safer, TW100S",269.99,249.0
PH-SPN7060WA,"Prelungitor 6 posturi Shuko si 5 USB, 2 metri, Philips PH-SPN7060WA",269.99,259.0
ASY-PP-FTP5E-24,"Patch Panel 1U FTP CAT5e, 24 de porturi RJ45, 150V, 1.5A, ASY-PP-FTP5E-24",269.99,255.0
SAF-BA615RX+TX,"Set videobalun activi Full HD, cu alimentare, HDTVI / HDCVI / AHD SAF-BA615RX+TX",271.99,244.99
RACK4U6060,"Rack 4U, 19'', Negru 600X600mm, montaj pe perete, SAFER, RACK4U6060",274.99,273.0
DH-PFM930-59N-200,"Cablu coaxial RG59, 200 m, cupru, Dahua DH-PFM930-59N-200",274.99,234.0
RB-4022,"UPS pentru supraveghere video si sisteme de securitate NANOPOWER 1000VA, 600W, 2 prize, Rebel RB-4022",274.99,262.0
SP-RCAT5FTPCCA,"Cablu FTP CCA (Cupru-Aluminiu) Cat5 Rola 305 metri fir 0.51, SP-RCAT5FTPCCA",274.99,264.0
UT261B,Tester succesiune faze si sens rotatie motor UNI-T UT261B,276.99,269.0
LM570LD-II,Nivela Laser max 10m UNI-T LM570LD-II,279.99,269.0
MCS305,Cablu coaxial RG6U cu sufa - Rola 305 metri MCS305,279.99,239.0
PL 26 AH,"Baterie VRLA AGM TED1226 12V 26Ah 175 x 166 x 126 mm, PL 26 AH",279.99,265.0
RACK4USOHO,"Rack de perete 4U, SOHO, 545x400mm, 19 Inch, SAFER RACK4USOHO",279.99,189.0
FS-MK2025,"Derulator cu cablu 3 x 2,5 CUPRU, 20ML, 4-PRIZE SCHUKO cu siguranta termica, FS-MK2025",279.99,265.0
RB-4023,"UPS NANOPOWER 650VA, 360W, 2 prize, Ecran LCD, Porturi USB si RJ45, Rebel RB-4023",284.99,268.0
CYYF2X1.5,"Cablu electric ignifug CYY-F 2 x 1,5mm, lungime 100 metri, cupru",284.99,275.0
PWUP-LI080H1-AZ01B,"UPS NJOY Horus 800VA 480W, PWUP-LI080H1-AZ01B",289.99,279.0
WDBUZG0010BBK-WESN,Hard disk Extern 1TB Western Digital pe USB pentru export video WDBUZG0010BBK-WESN,294.99,291.0
RACK6U,"Rack 6U, 19"", 600x450mm, montaj pe perete, SAFER, RACK6U",294.99,255.0
sursa5x5,5 Bucati x Sursa alimentare in comutatie 12V 5A stabilizata,296.99,249.99
TED003959,"UPS cu stabilizator, 700VA / 400W, cu ecran LCD, 2x Schuko, TED TED003959",297.99,279.0
MYYM3X1.5,"Cablu de alimentare flexibil Myym, rola 100m, 3x1,5 mm",299.99,286.0
RACKFAN2,Cooler rack cu doua ventilatoare si termostat RACKFAN2,299.99,259.0
VT-4800,"Generator de miră cu bare color verticale în format TVI, CVI, AHD sau CVBS (P/N), maxim 5MP",299.99,230.0
ST2000VX017,"Hard Disk 2TB, 5400 rpm, Seagate Skyhawk, ST2000VX017",299.99,299.0
UT256A,Clampmetru digital de tip furculita UNI-T UT256A,299.99,289.0
TED003942,"UPS cu stabilizator, 900VA/500W, cu ecran LCD, 2 x Schuko, TED TED003942",307.99,297.0
WD23PURZ,"Hard Disk pentru supraveghere video, 2 Terra Bytes, Western Digital Purple, HDD 2TB WD23PURZ",309.99,285.0
RACK6USOHO,"Rack de perete 6U, SOHO, 545x400mm, 19 Inch, SAFER, RACK6USOHO",309.99,285.0
HT601B,Detector scurgeri de gaz cu alarma Habotest HT601B,309.99,290.0
UPS600VA,"UPS 600VA - 360W functie Auto start 2 prize Shuko, Baterie inclusa",309.99,300.0
RB-4024,"UPS pentru supraveghere video NANOPOWER, 850VA, 480W, USB, Rebel RB-4024",319.99,305.0
RACK6U6060,"Rack 6U, 19'', Negru 600X600mm,montaj pe perete, SAFER, RACK6U6060",321.99,237.0
SA400S37/960G,"SSD KINGSTON A400, 960GB, SATA3, 2.5"", SA400S37/960G",329.99,328.0
RACK9USOHO,"Rack de perete 9U, SOHO, 545x400mm, 19 Inch, RACK9USOHO",329.99,289.0
GE4012FF,"Acumulator VRLA cu gel, 12V, 126W/celula, pentru UPS-uri, Njoy GE4012FF",329.99,320.0
E-PS15T50,Tambur prelungitor 3X1.5MM 50M cu 4 prize E-PS15T50,329.99,312.0
UPCSBLS660TTOAZ01B,Ups 600VA/360W cu 8 prize Njoy Token 600 UPCSBLS660TTOAZ01B,329.99,323.0
RB-4025,"UPS pentru sistem de securitate NANOPOWER PLUS, 1000VA, 600W, USB, Ecran LCD, Rebel RB-4025",339.99,323.0
SSD-C800AS512G,"Solid State Disk (SSD) - 512 GB Dahua 2.5"", SATA III SSD-C800AS512G",339.99,315.0
MYYM2X2.5,"Cablu flexibil de alimentare myym 2x2,5 mm rola 100m",339.99,325.0
TW305S,Cablu coaxial cu alimentare 2x05 CUPRU RG59 305 metri Safer TW305S,339.99,335.0
WD20EZBX,"Hard Disk, 2 TB, Western Digital Blue, 6Gbps, 256 MB, 7200 rpm, WD20EZBX",341.99,339.0
SAF-UT30R,Termometru cu infrarosu fara atingere SAFER scanare 5-10 cm,349.99,235.0
PFM809-4MP,"Videobalun 16 canale Dahua Pasiv, 4K, HDCVI/AHD/HDTVI/CVBS PFM809-4MP",353.99,297.0
PFM920I-5EUN,"Cablu UTP Cat5e Dahua Rola 305m, PFM920I-5EUN",354.99,301.0
HS-SSD-E100-1024G,"Solid State Disk (SSD) - 1TB Hikvision 2.5"", SATA III, HS-SSD-E100-1024G",356.99,350.0
LM19-A200,"Monitor HD 1600×900, diagonala 19.5”inci (49.50cm), unghi de vizualizare 90°, intrari 1xHDMI, 1xVGA, Dahua LM19-A200",359.99,350.0
RG6-SUFA-ECRANAT,"Coaxial RG6U trishield cu sufa, rola 305m, negru RG6-SUFA-ECRANAT",359.99,339.0
MYYM3X1.5-CU ALB,"Cablu de alimentare flexibil cu fire de cupru, Myym 3x1,5 mm, ALB",384.99,370.0
RACK9U6060,"Rack 9U, 19'', Negru 600X600mm, montaj pe perete, SAFER, RACK9U6060",387.99,354.0
CYYF3X1.5,"Cablu ignifug CYY-F 3 x 1,5mm Rola 100m",389.99,380.0
EAP225,"ACCESS POINT TP-LINK de tavan dual band 5GHZ si 2,4 Mhz - TP-Link OMADA EAP225",389.99,371.99
UPCSBLS680TTOAZ01B,Ups cu stabilizator (AVR) incorporat 800VA Njoy Token 800 UPCSBLS680TTOAZ01B,394.99,383.0
HJR 4-50,Tambur prelungitor 50 metri cu 4 prize,394.99,375.0
DS-1LN5E-S,"Cablu UTP CAT5e Hikvision 305M, DS-1LN5E-S CAT5e DS-1LN5E-S",394.99,345.0
UPLI-LI100KE-CG01B,Ups 1000VA/600W cu AVR si 4 prize Njoy Keen 1000 UPLI-LI100KE-CG01B,395.99,383.0
LM19-L200,"Monitor pentru supraveghere HD 1600x900, diagonala 19.5"" inci (49.50cm), 12V, 1xHDMI, 1xVGA, Dahua, LM19-L200",399.99,397.0
AVRL-3005TAL-CS01B,"Stabilizator de tensiune nJoy Alvis 3000, 3000V / 1800W, eficienta 95%, ecran digital, AVRL-3005TAL-CS01B",399.99,392.0
UT261A,"Detector de rotatie a fazelor pentru motoare electrice, UNI-T UT261A",399.99,391.0
alim5ax10,Pachet 10 alimentatori 5Ah pentru camere de supraveghere,405.99,399.99
DS-1LN5E-E/E,"Cablu UTP CAT5E Hikvision, 305 m, DS-1LN5E-E/E",414.99,301.0
WD33PURZ,"Hard Disk 3 terra bytes, Western Digital HDD 3TB, 3.5"", cache 256MB, WD33PURZ",414.99,408.0
RACK9U,"Rack perete 9U 19''Negru 600X450, RACK9U",419.99,309.0
RACKFAN4,Ventilator x4 cu termostat pentru Rack RACKFAN4,419.99,329.0
AHD710P-2TU31-C(YEL),"Hard Disk extern ADATA, 2TB, 2.5 inch, Galben, HDD AHD710P-2TU31-C(YEL)",429.99,419.0
AHD710P-2TU31-C(Black),"Hard disk Extern, 2TB, ADATA, USB, pentru export video, negru, AHD710P-2TU31-C(Black)",429.99,419.0
WD43PURZ,"Hard Disk 4 Tera (HDD) SATA, Western Digital Purple 3.5 Surveillance, pentru supraveghere video, WD43PURZ",429.99,419.0
PWUP-LI100H1-AZ01B,"UPS 1000VA Njoy Horus Plus 1000, PWUP-LI100H1-AZ01B",431.99,416.0
UT17B PRO,Multimetru digital profesional UNI-T UT17B PRO,434.99,400.0
MYYM5X1.5,"Cablu de tip MYYM 5x1,5, rola de 100m, CCA, MYYM5X1.5",444.99,436.0
ASE900G-1TU32G2-CBK,"SSD portabil, 1TB, viteza de scriere/citire 2000 Mbps, USB 3.2 Gen 2x2 Type C, lumini RGB, ADATA, ASE900G-1TU32G2-CBK",445.99,440.0
PFM920I-5EU-C,"Cablu de retea UTP, Cat5e, OFC, 305 metri, Dahua PFM920I-5EU-C",448.99,381.0
E2270SWN,"Monitor AOC 21.5 inch, Full HD, E2270SWN",450.99,397.0
SAF-UTP-1LN6-UE-305M-CU,"Cablu de retea UTP Cat6, cupru, 305 metri, Safer, SAF-UTP-1LN6-UE-305M-CU",459.99,409.0
ST4000VX016,"Hard Disk (HDD) Seagate Skyhawk 4 TB (Tera Bytes) 3.5"", pentru supraveghere video, cache 256MB, ST4000VX016",459.99,458.0
BVX700LI-GR,"UPS APC BVX700LI-GR, 700VA, 360W, 2 prize Schuko, baterie de 12V, 7Ah",459.99,454.0
221V8/00,"Monitor LCD VA, 21,5 inch - 54,6 cm, Full HD, sRGB, Philips 221V8/00",469.99,465.0
TED004628,"UPS 1100VA 600W, stabilizator, management, 4x Schuko, Ecran LCD, 2 acumulatori 12V 7Ah, TED Electric, TED004628",477.99,460.0
A37,Detector standalone de CO2. temperatura si umiditate cu alarma sonora Unit-t A37,479.99,460.0
RACK12U6060,"Rack 12U, 19'', Negru 600X600mm, montaj pe perete, SAFER, RACK12U6060",479.99,419.0
MYYM3X2.5,"Cablu de alimentare flexibil Myym 3 x 2.5mm, rola 100 metri MYYM3X2.5",479.99,455.0
EAP245,"ACCESS POINT de interior TP-LINK wireless 2,4 - 5 Ghz 1750Mbps - EAP245",480.98,454.62
FTPCCASUFA+POWER,"Cablu FTP CCA CAT 5E cu sufa si alimentare 2x0.7mm, rola 305 , FTPCCASUFA+POWER",488.99,439.0
LN-KDG-ORG-42EU-BL,"Set 2x Organizator Rack Pentru Cabluri, cu capac si balamale, pentru rack-uri de 800mm, LN-KDG-ORG-42EU-BL",489.00,467.0
ASY-PP-FTP6-48,"Patch Panel 2U, 48 de porturi RJ45, FTP cat6, 150V, 1.5A, ASYTECH ASY-PP-FTP6-48",489.99,439.0
RACK12U,Rack 19 inci 12U montaj pe perete 600X450 RACK12U,489.99,359.0
ST3000VX015,"Hard Disk 3TB, 7200 rpm, Seagate Skyhawk, ST3000VX015",489.99,480.0
SAF-UTPCU-CAT6-305M,"Cablu de retea UTP Cat6, Cupru, 305 metri, Safer, SAF-UTPCU-CAT6-305M",489.99,444.0
ASY-PP-FTP5E-48,"Patch panel 48 de porturi RJ45, 2U, rackabil, cat5e, Asytech, ASY-PP-FTP5E-48",489.99,439.0
URZ3404,"UPS de 300W cu unda sinusoidala pura, compatibil cu baterii de 12V, pentru centrale termice, incarcare 10A, Kemot URZ3404",489.99,470.0
OC200,Controller Cloud Omada TP-LINK OC200,491.98,454.0
SA3004,Sistem de ventilare pentru rack cu 4 ventilatoare si termostat (rackfan4) Braungrup SA3004,497.99,474.0
UPS_1000VA,"UPS Safer 1000VA / 600W, 4 prize sucho, conexiune internet LAN, baterie inclusa, management, UPS_1000VA",499.99,470.0
LAP-120,Antena wireless LAP-120 LiteBeam 5AC 16dBi airMAX MIMO 2x2 - Ubiquiti,500.99,477.0
HSEKU424P1,"Cablu de retea UTP Cat5e, conductor Cupru, ambalat in cutie 305 metri, Schrack HSEKU424P1",504.99,475.0
TED000132,"Stabilizator de tensiune retea, monofazat, TED Electric 2100VA / 1200W cu servomotor TED000132",508.99,480.0
TED004635,"UPS cu stabilizator TED TED004635, 1300VA, 750W, 2x baterii de 12V, 8Ah, 4x prize Schuko",514.99,490.0
TED000354,"UPS de 300W 550VA cu unda sinusoidala pura, compatibil cu 2 baterii de 12V, pentru centrale termice, TED, TED000354",516.99,510.0
DS-1LN6-UU,"Cablu de date UTP Cat6 cutie 305 Hikvision, DS-1LN6-UU",518.99,506.0
PFM920I-6UN-C,"Cablu de retea UTP CAT6 Cupru 0,53 mm rezistent la flacara, lungime 305m, 100% Cupru, Dahua PFM920I-6UN-C",518.99,518.0
URZ3408,"UPS pentru centrale termice, 12V, 300W, 500VA, cu unda sinusoidala pura, display LED, URZ3408",519.99,515.0
24B1H,"Monitor AOC 23.6″, Full HD (1920 x 1080), Wide, 5 ms, VGA, HDMI, 24B1H",519.99,515.0
URZ3404B,"UPS Kemot PROsinus - 300, Pentru baterii de 12V, incarcare 10A, 300W, URZ3404B",519.99,495.0
241V8L/00,"Monitor FULL HD LCD, diagonala 24""(60.5 cm), Sistem W-LED, Antireflex, Intrare VGA, HDMI, Philips 241V8L/00",520.99,517.0
UPLI-LI150KE-CG01B,"Ups 1500VA/900W cu AVR si 4 prize Njoy Keen 1500, UPLI-LI150KE-CG01B",524.99,508.0
TW200CU,"Cablu coaxial CUPRU RG6 + 2X0,75 alimentare 200M Safer TW200CU",529.99,484.0
FTPCAT6SUFA+POW305,"Cablu de retea FTP Cat 6 CCA, Sufa 1.3mm, Alimentare 2x1mm, Conductor 8x0.56, 305m, Safer, FTPCAT6SUFA+POW305",539.99,509.0
FS-MK5025,"Prelungitor cu derulator de cablu 50m pentru exterior, conductor din curpu, IP44, 4 prize schuko, Siguranta Termica, FS-MK5025",544.99,519.0
SAF-FTP5S305-CU,"Cablu de retea FTP Cat5E cu sufa, cupru, 305 metri, Safer, SAF-FTP5S305-CU",544.99,493.0
URZ3405,"UPS centrala termica pentru baterii de 12V, 500W, 800VA, Display LED, Sinusoida pura, Kemot, URZ3405",544.99,530.0
VGA-KVM-EXT,"Extender VGA + USB pe cablu de retea 100m, UTP CAt5e/Cat6 VGA KMW Extender",549.99,529.0
UP-12U-SH-55X40-BL,"RACK 12U, 19 Inch, 550 x 400 mm, montaj perete, SOHO, UP-12U-SH-55X40-BL",549.99,369.0
PWUP-LI150H1-AZ01B,UPS 1500VA Njoy Horus Plus 1500 PWUP-LI150H1-AZ01B,559.99,543.0
CKG2-RM,"Panou frontal, montaj in rack 19', negru-argintiu, CloudKey G2, CloudKey G2 Plus, Ubiquiti, CKG2-RM",562.99,536.0
FTP5E-300-BC,"Cablu de retea FTP CAT5e, 305m, Conductor din Cupru OFC, puritate 100%, GRI, FTP5E-300-BC",564.99,544.0
KAB0010,"Cablu coaxial RG6U CCA, tambur 305 metri KAB0010",564.99,533.0
SAF-KVM,"Extender HDMI (1080P) + USB over IP Signal 100m, UTP, multicast SAF-KVM",573.99,546.0
URZ3405B,"UPS pentru baterii de 12V, potrivit pentru centrale termice, Sinus Pur, 500W, Kemot PROsinius URZ3405B",579.99,551.0
UPLI-LI080CO-AZ01B,UPS 800VA Rackabil 480W Njoy Code 800,579.99,560.0
193V5LSB2/10,"Monitor Phillips pentru supraveghere 18,5"" /47 cm, V-LINE 193V5LSB2/10",580.99,560.0
UPLI-LI200KE-CG01B,Ups 2000VA/1200W cu AVR si 4 prize Njoy Keen 2000 UPLI-LI200KE-CG01B,589.99,569.0
URZ3409,"UPS pentru centrale termice, cu Sinusoida PURA, 500W, pentru baterii de 12V, Kemo ProSinus, URZ3409",594.99,567.0
PFM920I-5EF-C,"Cablu de retea FTP Cat5e, Cupru, Manta din PVC, 305m, Dahua PFM920I-5EF-C",597.99,509.0
LM22-L200,"Monitor FULL HD LED, diagonala 22 inci (55.8cm), unghi de vizualizare 178°, VGA / HDMI, LM22-L200 Dahua",599.99,574.0
RACK15U6060,"Rack 15U, 19'', Negru 600X600mm, montaj pe perete, SAFER, RACK15U6060",599.99,508.0
LM24-B200S,"Monitor pentru supraveghere, FHD, 1920x1080, diagonala 23.8"", intrari 1xVGA, 1xHDMI, Dahua LM24-B200S",599.99,495.0
MW3222-L,"Monitor LED 22"" FullHD, HDMI, VGA, 60 Hz, Uniview, MW3222-L",599.99,525.99
PFM920-6U,"Cablu UTP CAT6, Conductor cupru, 23 AWG, 305m, Dahua PFM920-6U",624.99,620.0
AHD710P-4TU31-CBK,Hard disk Extern 4TB ADATA pe USB pentru export video AHD710P-4TU31-CBK,625.99,620.0
24-MK430H-B,"Monitor LED IPS Full HD, cu diagonala 24 inch / 60cm, interfata HDMI, VGA, Jack 3.5mm, LG 24-MK430H-B",633.00,603.0
22MP410P-B.AEU,"Monitor LG Full HD, Diagonala 21.5"" ( 54.6cm), Tehnologie VA, Interfata HDMI, VGA, 22MP410P-B.AEU",638.99,608.0
CAB-LC3110B-E-IN,"Cablu UTP CUPRU pentru exterior, Cat 6E TAMBUR CAB-LC3110B-E-IN",649.99,626.0
223V5LSB2/10,"Monitor LED Philips 21.5 inch, Full HD, 223V5LSB2/10",649.99,620.0
SAF-MNT22-FHD-V2,Monitor 22 LED audio inclus 6.5 ms VGA si HDMI 1080P SAF-MNT22-FHD-V2,686.99,655.0
SAF-FTP305-CU,"Cablu de retea FTP Cat6, cupru, 305 metri, Safer, SAF-FTP305-CU",699.99,676.0
HSEKF424P1,"Cablu de retea FTP CAT 5E Cupru 0.53 mm Schrack, HSEKF424P1",699.99,670.0
WD64PURZ,"Hard Disk pentru supraveghere video, 6 Terra Bytes, Western Digital Purple, HDD 6TB, WD64PURZ",719.99,714.0
223V5LHSB/00,"Monitor LED Philips, FullHD, 21.5"", HDMI, 223V5LHSB/00",720.99,686.0
KAB0020,Cablu coaxial cu GEL Tambur 305 m KAB0020,734.99,644.0
ST6000VX009,"Hard Disk 6 Tera Seagate SkyHawk Surveillance Edition, ST6000VX009",749.99,745.0
UTPCUCAT5Q5+POWER,"Cablu UTP cu alimentare, Siamez CAT 5e, 8 fire Cupru + 2x0.75, rola de 305M, Q5+UTPCUCAT5Q5+POWER",759.99,735.0
RACK22U6060,"Rack 22U, 19'', Negru 600X600mm, montaj pe perete, SAFER, RACK22U6060",779.99,629.0
UTPCUCAT5Q5SUFA+POWER,"Cablu UTP cu alimentare si sufa, siamez, CAT 5E, UTPCUCAT5Q5SUFA+POWER",789.99,719.0
MYYM3X4,Cablu MYYM 3x4mm 100 metri per rola,789.99,730.0
KAB0110,"Cablu UTP CUPRU cu GEL, 305m, CAT5E, pentru exterior TAMBUR KAB0110",799.99,759.0
LM24-F200,"Monitor FULL HD, 23.8 inch, functionare 24/7, W-LED, Dahua LM24-F200",799.99,759.0
M2470SWH,"Monitor AOC 23.6″, home office, MVA, Full HD, Wide, VGA, HDMI x 2, M2470SWH",859.99,815.0
T5N,Tester 4K AHD/CVI/TVI si IP H265 WIFI 4 Inci T5N,864.99,824.0
273V7QDSB/00,"Monitor Philips 27"", 1920 x 1080p, IPS Full HD, Wide, 250cd/m² VGA, DVI, HDMI, Prindere VESA, Posibilitate montare pe perete, 273V7QDSB/00",879.99,838.0
FTPCUCAT5Q5SUFA+POWER,"Cablu FTP, Cat5e, ecranat, alimentare 2x0.75mm, cupru, sufa de sustinere, FTPCUCAT5Q5SUFA+POWER",892.99,850.0
SF-MNT27-FHD-SLIM,"Monitor LED 27 inch, Wide, 1920 X 1080 Full HD, VGA, HDMI, Negru, SF-MNT27-FHD-SLIM",899.99,893.0
MTAS-5G-19D120,Antena 5Ghz dual polarizata 120Grade 19dBi Microtik MTAS-5G-19D120,914.99,872.0
TED003409,Baterie cu GEL 12V 77 AH TED Deep Cycle TED003409,919.99,880.0
DS-D5027FN/EU,"Monitor 27"" FULL HD VGA SI HDMI Hikvision DS-D5027FN/EU",966.99,760.0
ST8000VX010,"Hard Disk 8 Terra Bytes Seagate HDD 8 TB, 3.5"", cache 256MB, pentru supraveghere video, ST8000VX010",974.99,969.0
CYYF3X4,"Cablu electric ignifug CYYF 3 x 4mm, rola 100 metri",979.99,945.0
273V7QJAB/00,"Monitor Supraveghere LCD Full HD, LED 27"" WLED tehn. IPS, Philips, 273V7QJAB/00",989.99,940.0
AK24-HV,Antena directionala parabolica MIMO 24dbi,999.99,944.99
FTPCAT6305LSZH,Cablu FTP CAT6 LSZH Tambur 305 metri,1014.99,975.0
TED003492,"Acumulator cu GEL, 12 V, 102 Ah, TED Electric, TED003492",1019.99,970.0
DS-D5024FC-C,"Monitor FullHD, 23.8” (60.45 cm), E-LED, 60 Hz, VGA, HDMI, Hikvision, DS-D5024FC-C",1019.99,578.0
MYYM3X6,"Cablu flexibil Myym 3 x 6mm, rola 100 metri",1023.99,1018.0
ST8000VE001,"Hard disk 8Tb, pentru supraveghere video, Seagate SKYHAWK, ST8000VE001",1027.99,1024.0
SAF-FTPS-500M-CU,"Cablu de retea FTP Cat5E cu sufa, cupru, 500 metri, Safer, SAF-FTPS-500M-CU",1049.99,959.0
WD84PURZ,"Hard Disk 8 TB, Western Digital Purple 8TB Surveillance HDD, WD84PURZ",1074.99,1059.0
LM27-B200,"Monitor LED pentru supraveghere, Full HD, diagonala 27""(68.5 cm), intrari 1xVGA, 1xHDMI, Dahua LM27-B200",1080.99,880.0
LM27-E230C,"Monitor curbat 27"" FullHD, VA, 165Hz, HDMI, Display port, 1ms, 1500R, Dahua, LM27-E230C",1099.99,977.0
myyup2x1x10,10 role x cablu alimentare 100m camere supraveghere plat 2 x 1 mm,1103.99,1299.99
327E8QJAB/00,"Monitor supraveghere video Full HD extra lat de 32"" (80 cm) Philips 327E8QJAB/00",1154.99,1122.0
PKC-MS0A,"Suport mobil pentru monitor interactiv Whiteboard, 55""-75"" inci, Dahua PKC-MS0A",1199.99,1122.0
DS-D5032QE,"Monitor supraveghere 31.5″, home office, LED, Full HD, HDMI, VGA, Hikvision DS-D5032QE",1223.99,728.0
5XTW100S,"5 ROLE X Cablu coaxial CUPRU RG6 + 2X0,75 alimentare 100M Safer",1336.99,1243.99
5XTW100S,"5 ROLE X Cablu coaxial CUPRU RG6 + 2X0,75 alimentare 100M Safer",1336.99,1243.99
LM32-F200,"Monitor LED pentru supraveghere , 31.55''(80cm) Full HD, VGA, HDMI si USB, Difuzoare incluse, Dahua LM32-F200",1349.99,1270.0
WD101PURP,"Hard disk 10TB Western Digital Purple PRO, WD101PURP",1379.99,1335.0
TED003515,"Baterie cu gel 12V, 153Ah, terminal M8, TED TED003515",1399.99,1324.0
ST10000VE001,"Hard-Disk 10TB, SEAGATE, Skyhawk AI Guardian Surveillance, 3.5"" SATA 6Gb/s, HDD 10 Tera ST10000VE001",1399.99,1320.0
HSKU423P15,Cablu UTP Cat6 Rola 500 metri SCHRACK HSKU423P15,1403.99,1350.0
CYYF3X6,"Cablu ignifug CYYF 3 x 6 mm, rola 100 metri",1449.99,1390.0
RBLHGG-60adkitr2,"Set transmisie wireless cu 2 antene, 1,5 KM - 1000Mb/s, RBLHGG-60ad",1499.99,1470.0
WD121PURP,"Hard Disk Western Digital, 12 TB (Tera Bytes), Purple, special pentru supraveghere, 3.5"", SATA WD121PURP",1589.99,1549.0
RACK27U6080,"Rack 27U, 19'', Negru 600X800mm, montaj pe podea, roti si sistem de ventilare, SAFER RACK27U6080",1599.99,1419.0
AK30-HV,Antena directionala parabolica MIMO 30dbi AK30-HV,1599.99,1511.99
FTPCAT6500LSZH,Cablu FTP CAT6 LSZH Tambur 500 metri FTPCAT6500LSZH,1634.99,1585.0
LM43-F200,"Monitor 43 inch, Full HD, 60 Hz, 8 ms, HDMI, VGA, USB, Dahua, LM43-F200",1686.99,1572.0
RACK32U6080,"Rack 32U, 19'', Negru 600X800mm, cu roti si sistem de ventilare, montaj pe podea, Safer RACK32U6080",1689.99,1429.0
