Product,Price
"Suport pentru usa compatibil cu clock3, de tip ZL, din metal, Clock3-ZL Bracket","38 , 99 Lei"
"Buton de iesire, aplicabil, aluminiu, NO/COM, SECUKEY Cbutton 5","39 , 99 Lei"
"Releu 5Amperi, 45mA, NO/NC/COM Sebury BRB-01","39 , 99 Lei"
"Telecomanda suplimentara pentru kiturile de control acces WS2 si WS2K, WS2(K)Remote","39 , 99 Lei"
"Buton de iesire fara atingere, senzor infrarosu, LED de stare, montaj incastrat, din aluminiu, Sebury NBT-006","41 , 99 Lei"
"Buton de iesire incastrabil, din duraluminiu PBK-800A","41 , 99 Lei"
"Buton de iesire, aplicabil, aluminiu, NBT-001","41 , 99 Lei"
"Buton de iesire cu contact de tip NO / COM, 5-36V, Carcasa din Zinc, Argintiu, Sebury NBT-009","41 , 99 Lei"
"Buton de iesire cu contact de iesire de tip NO, 36V-3A, carcasa din aliaj de aluminiu, Sebury NBT-002","42 , 99 Lei"
"Buton de iesire cu infrarosu fara atingere, Indicator stare LED, Otel inoxidabil, NO/NC/COM, SECUKEY Cbutton 6","42 , 99 Lei"
"Buton de iesire incastrabil din inox, BD-EB08","43 , 99 Lei"
"Buton de iesire iluminat, FARA ATINGERE, detectie cu IR, 12V 3A, NO/NC/COM, carcasa din otel inoxidabil, Sebury NBT-005","44 , 99 Lei"
Cititor de proximitate EM RFID 125KHZ ACM26-EM,"44 , 99 Lei"
"Cititor de proximitate, RFID 125khz, control acces, ACM223-ID","45 , 99 Lei"
"Buton de iesire incastrabil, inox, PBK-810C","45 , 99 Lei"
"Electromagnet cu dimensiuni reduse, 60 kg forta, alimentare 12V 0.16A, potrivit pentru usi mici, ACM-Y60-12V","45 , 99 Lei"
"Buton de iesire incastrabil, din inox, led de stare VERDE, PBK-811A(LED)","46 , 99 Lei"
"Buton de iesire incastrabil, din inox, led de stare ROSU, PBK-811A(LED)","46 , 99 Lei"
"Buton de iesire incastrabil, din inox, led de stare Albastru, PBK-811A(LED)","46 , 99 Lei"
"Cilindru 70MM cu extensie pentru yale smart D1 si D1K, Secukey, KIT-D1C70mm","47 , 99 Lei"
"Tag de proximitate Ezviz, functie anti-copiere, 13.8-14.4MHz, viteza comunicare 106kbps, material ABS, CS-DL-IC-CPU-R200 (GR)","48 , 99 Lei"
"Cutie de plastic cu garnitura si presetupe, pentru conectare dispozitive electrice, surse si alimentatori, CUTIE225X311X130","48 , 99 Lei"
"Buton de iesire aplicabil, pentru exterior, SMB-S001","49 , 99 Lei"
Cititor de proximitate EM RFID 125KHZ ACM-26F-EM,"49 , 99 Lei"
"Modul de control acces cu Tastatura si Cititor de proximitate, RFID 125 KHZ, COD PIN, ACM226-ID","49 , 99 Lei"
"Suport ZL pentru montarea electromagnetilor SM-150LEDA, SB-150ZLLEDA","51 , 99 Lei"
"Cititor de proximitate, NFC, Mifare,13,56 Mhz, Wiegand 26, ACM-213NFC","52 , 99 Lei"
"Buton de iesire wireless, SECUKEY Wbutton 1","53 , 52 Lei"
"Economizor de electricitate, activare cu cartela, temporizare, material rezistent la foc, HLES-30A-PVC","54 , 99 Lei"
"Suport ZL pentru electromagnetul Clock 4, clock4-ZL Bracket","54 , 99 Lei"
"Sursa de alimentare 24V/1.5A, montaj pe sina DIN, Safer SAF-24-DIN1.5","58 , 99 Lei"
"Cilindru 90MM cu extensie pentru yale smart D1 si D1K, Secukey, KIT-D1C90mm","59 , 99 Lei"
