Product,Price
"Sirena conventionala de interior cu alarma stroboscopica, TEKNIM TFS-3193W",83.99
Senzor optic de fum si temperatura conventional seria Iris INIM ID300,84.99
"Centrala X-Sense SBS50 pentru dispozitive de alarma wireless, detectare fum, caldura, CO, control din aplicatie",84.99
"Detector optic de fum adresabil TEKNIM, TFD-1250 Certificat EN 54-7",84.99
"Sirena de interior conventionala cu iluminare stroboscopica TEKNIM, TFS-3192R",84.99
"Sirena conventionala, de interior cu avertizare luminoasa TEKNIM TFS-3191",84.99
"Modul pentru sistem de antiincendiu, convertor tensiune de la 24V la 14V, curent maxim 1A, compatibil cu sirena IVY-R, Inim STD241201",85.99
"Detector inteligent temperatura adresabil cu izolator incorporat, TEKNIM TFD-1261",89.99
"Modul adresabil inteligent pentru centrale detectie la incendiu TEKNIM, TFM-1011",89.99
"Detector combinat de fum si caldura, 12V, 4 contacte, inclusiv baza, SNC-300-CR",89.99
"Detector de fum programabil WIFI, notificari direct pe telefon, RH-ASK02",89.99
Detector fum de tigara standalone SD-20B8 baterie 9V,89.99
"Sirena conventionala cu alarma cu avertizare luminoasa (alba), TEKNIM TFS-3192W",92.99
"Flash conventional de interior stroboscopic(Avertizare luminoasa stroboscopica), fara sunet, Rosu, TEKNIM TFS-3193R",92.99
Buton de incendiu conventional albastru Inim IC0020B,94.99
"Detector de fum adresabil SNA-360-S2 certificat EN54-7, Numens SNA-360-S2",99.99
Detector de temperatura adresabil HNA-360-H2 certificat EN54-7,99.99
"Detector de gaz metan adresabil TEKNIM, TFD-1170",99.99
"Cablu pentru programator TEKNIM TFCM-1801, TEKNIM TFCM1801-CABLE",99.99
"Buton adresabil de alarmare incendiu UNIPOS, FD7150N",99.99
"Detector de fum Morley-IAS cu izolator, culoare Ivory - Honeywell HM-PSE-I",101.99
"Detector adresabil de fum optic Unipos, FD7130",104.99
"Detector inteligent fum si/sau temperatura adresabil TEKNIM, TFD-1270",104.99
Detector de temperatura fixa 58°C cu izolator HoneyWell HM-FHSE-I-AP,108.99
"Detector rata de crestere temperatura Morley-IAS cu izolator, culoare Ivory - Honeywell HM-RHSE-I-AP",108.99
"Pachet corp de iluminat de siguranta cu led 2W si folie pt emergenta hibrant, Braytron BC14-01100Hidrant",108.99
"Detector de fum adresabil TEKNIM TFD-1251, cu izolator, indicator LED, IP30",109.99
"Senzor de fum WisuAlarm Dahua HY-SA30A, standalone, alarma 85 dB, montaj pe tavan",109.99
"Corp iluminat de siguranta cu LED 2W si folie de siguranta STANGA / DREPATA, Braytron BC14-01100-USA-DR-ST",109.99
"Sursa comutatie 24V 1,6AH, 50W, cu incarcare baterie MEAN WELL SCP-50-24",115.99
"Detector de fum wireless WisuAlarm Dahua HY-SA30A-R8, alarma 85dB, indicator LED, sistem MESH, baterie 3V CR123A, HY-SA30A-R8",118.00
"Corp de iluminat cu LED, 5W, 3.7V, 2200mAh, baterie Li-ion, lumina rece (6400K), IP65, Vivalux Castor VIV004116",119.99
"Buton de incendiu adresabil TEKNIM, TFB-1166",119.99
Detector de temperatura FIRECLASS FC460H,128.99
Detector de gaz metan 230V cu releu OR-DC-614,129.99
"Multi detector adresabil Teknim TFD-1271, cu izolator incorporat, 2x indicator LED, IP30",129.99
"Detector adresabil de fum si prag de temperatura Unipos, FD7160",129.99
Sirena conventionala de incendiu INIM 32 tonuri 106dB,129.99
"Pachet corp iluminat de siguranta cu LED 5W si folie PT dreapta, Braytron BR-BC14-00900-USA-DR",129.99
"Detector de fum si temperatura adresabil HNA-360-C2 certificat EN54-7, Numens HNA-360-C2",129.99
"Detector de gaz metan conventional TEKNIM, TSD-701",129.99
"Detector de FUM adresabil FIRECLASS, FC460P",131.99
Sirena conventionala de incendiu pentru interior / exterior AH-03127-S,132.99
"Multi detector adresabil Teknim TFD-1271A, cu izolator incorporat, 2x indicatori LED, culoare antracit",134.99
"Lampa de avertizare adresabila cu lumina alba, izolator incorporat, 15-32VDC, material antiinflamabil UL94, TEKNIM TFS-1183W",134.99
"Detector de fum optic si termic, Morley-IAS, adresabil, cu izolator, Honeywell HM-PTSE-I-AP",136.99
Detector optic de fum adresabil protocol Enea cu izolator inclus Inim ED100,139.99
"Lampa de avertizare adresabila cu lumina rosie, TEKNIM, TFS-1183R",141.99
"Sursa de alimentare in comutatie 24V 20A, Safer SAF-42PA",146.99
Sirena adresabila de interior cu avertizare luminoasa TEKNIM TFS-1181R,149.99
"Corp iluminat Emergenta 3 ORE, 3W EXIT, 3114",149.99
Sirena adresabila cu flash pentru interior Unipos FD7204D,149.99
"Sirena acustica, conventionala de incendiu, FIRECLASS H201",157.99
"Modul adresabil inteligent I/0 pentru centrale detectie la incendiu TEKNIM, TFM-1221",159.99
"Buton de incendiu adresabil, certificat EN54-11 Numens 660-001",159.99
"Sirena adresabila de interior cu avertizare luminoasa TEKNIM, TFS-1182R",159.99
Modul izolator de bucla FIRECLASS FC410LI,161.99
"Modul adresabil inteligent I/0, input-output compatibil cu seria TFP-12xx Teknim, TFM-1431",166.99
"Sursa de alimentare in comutatie 24V 25A, Safer SAF-43PA",167.99
Detector temperatura adresabil protocol Enea cu izolator inclus Inim ED200,169.99
