SKU,Name,Price,Discount,Price Difference
AJAX HUB2 PLUS BLACK,"Centrala de alarma wireless, 2xSIM, 4G/3G/2G, Ethernet, Wi-Fi, AJAX HUB2 PLUS BLACK",2469.99,1497.38,972.6099999999997
DS-7732NI-I4/16P(B),"NVR 32 de canale, 32MP 8K, 256 Mbps, HDMI 4K, 16x PoE 200W, 4x SATA, Hikvision DS-7732NI-I4/16P(B)",4019.99,3054.28,965.7099999999996
DS-7732NI-I4/16P,"NVR 32 Canale, 16 Porturi PoE, 12MP, 256 Mbps, H265, 4xSATA, Hikvision DS-7732NI-I4/16P",4019.99,3054.28,965.7099999999996
VZ-195-2,Automatizare usa glisanta de sticla 2x1150 185KG,5999.99,5040.0,959.9899999999998
TPC-BF1241-B3F4-S2,"Camera IP Termica Hibrida, cu senzor de 4MP 4mm si senzor termic 960p 3.5mm, Wizsense, MicroSD, PoE, Dahua TPC-BF1241-B3F4-S2",3101.99,2171.0,930.9899999999998
DS-7732NXI-I4/16P/S(C),"NVR 32 canale, 16xPoE, AcuSense, 12MP, bandwidth 256 Mbps, 4x SATA, Recunoastere faciala, Hikvision DS-7732NXI-I4/16P/S(C)",3777.99,2870.5,907.4899999999998
DS-7732NXI-I4/16P/S,"NVR 32 canale, 8MP, 16x PoE, AcuSense, Recunoastere Faciala, 256 Mbps, Hikvision DS-7732NXI-I4/16P/S",3777.99,2870.5,907.4899999999998
ZKBioTimeMobileAPP,Aplicatie pontaj pentru lucru de acasa ZKBioTime Mobile APP,4999.0,4095.0,904.0
KIT-DAHUA8-5MPLED40,"Kit de supraveghere compus din 8 Camere Dahua Full Color de 5 MP cu microfon si DVR 8 canale cu AI, KIT-DAHUA8-5MPLED40",3411.99,2529.99,882.0
KIT-DAHUA8-5MPLED40,"Kit de supraveghere compus din 8 Camere Dahua Full Color de 5 MP cu microfon si DVR 8 canale cu AI, KIT-DAHUA8-5MPLED40",3411.99,2529.99,882.0
