Product,Price
"Detector conventional de fum si de temperatura, Fireclass FC701PH",77.00
"Detector inteligent temperatura adresabil cu izolator incorporat, TEKNIM TFD-1261",77.00
"Sirena conventionala cu alarma cu avertizare luminoasa (alba), TEKNIM TFS-3192W",77.00
"Flash conventional de interior stroboscopic(Avertizare luminoasa stroboscopica), fara sunet, Rosu, TEKNIM TFS-3193R",77.00
"Sirena de interior conventionala cu iluminare stroboscopica TEKNIM, TFS-3192R",78.00
Detector adresabil crestere temperatura Unipos FD7120,79.00
"Corp iluminat Emergenta 3 ORE, 3W EXIT, 3115",79.00
"Detector optic de fum adresabil TEKNIM, TFD-1250 Certificat EN 54-7",79.00
"Modul adresabil inteligent pentru centrale detectie la incendiu TEKNIM, TFM-1011",79.00
Detector fum de tigara standalone SD-20B8 baterie 9V,79.00
"Centrala X-Sense SBS50 pentru dispozitive de alarma wireless, detectare fum, caldura, CO, control din aplicatie",80.00
Senzor optic de fum si temperatura conventional seria Iris INIM ID300,81.00
"Modul pentru sistem de antiincendiu, convertor tensiune de la 24V la 14V, curent maxim 1A, compatibil cu sirena IVY-R, Inim STD241201",81.00
"Detector de fum programabil WIFI, notificari direct pe telefon, RH-ASK02",85.00
"Corp iluminat Emergenta 3 ORE, 3W EXIT, 3114",88.00
Buton de incendiu conventional albastru Inim IC0020B,90.00
"Detector de gaz metan adresabil TEKNIM, TFD-1170",91.00
"Detector de fum adresabil TEKNIM TFD-1251, cu izolator, indicator LED, IP30",92.00
"Detector de fum adresabil SNA-360-S2 certificat EN54-7, Numens SNA-360-S2",94.00
Detector de temperatura adresabil HNA-360-H2 certificat EN54-7,94.00
"Cablu pentru programator TEKNIM TFCM-1801, TEKNIM TFCM1801-CABLE",94.00
"Detector de fum Morley-IAS cu izolator, culoare Ivory - Honeywell HM-PSE-I",96.76
"Senzor de fum WisuAlarm Dahua HY-SA30A, standalone, alarma 85 dB, montaj pe tavan",97.00
"Buton adresabil de alarmare incendiu UNIPOS, FD7150N",99.00
"Detector inteligent fum si/sau temperatura adresabil TEKNIM, TFD-1270",99.00
"Corp de iluminat cu LED, 5W, 3.7V, 2200mAh, baterie Li-ion, lumina rece (6400K), IP65, Vivalux Castor VIV004116",99.00
"Detector de gaz metan conventional TEKNIM, TSD-701",99.00
"Detector adresabil de fum optic Unipos, FD7130",99.75
Detector de temperatura fixa 58°C cu izolator HoneyWell HM-FHSE-I-AP,103.36
"Detector rata de crestere temperatura Morley-IAS cu izolator, culoare Ivory - Honeywell HM-RHSE-I-AP",103.36
"Pachet corp de iluminat de siguranta cu led 2W si folie pt emergenta hibrant, Braytron BC14-01100Hidrant",104.99
"Corp iluminat de siguranta cu LED 2W si folie de siguranta STANGA / DREPATA, Braytron BC14-01100-USA-DR-ST",105.99
"Multi detector adresabil Teknim TFD-1271, cu izolator incorporat, 2x indicator LED, IP30",107.00
"Sursa comutatie 24V 1,6AH, 50W, cu incarcare baterie MEAN WELL SCP-50-24",109.00
"Multi detector adresabil Teknim TFD-1271A, cu izolator incorporat, 2x indicatori LED, culoare antracit",111.00
Detector de gaz metan 230V cu releu OR-DC-614,114.00
"Buton de incendiu adresabil TEKNIM, TFB-1166",115.00
"Detector adresabil de fum si prag de temperatura Unipos, FD7160",115.00
"Detector de fum wireless WisuAlarm Dahua HY-SA30A-R8, alarma 85dB, indicator LED, sistem MESH, baterie 3V CR123A, HY-SA30A-R8",118.00
Sirena conventionala de incendiu INIM 32 tonuri 106dB,124.00
"Detector de fum si temperatura adresabil HNA-360-C2 certificat EN54-7, Numens HNA-360-C2",124.00
"Pachet corp iluminat de siguranta cu LED 5W si folie PT dreapta, Braytron BR-BC14-00900-USA-DR",124.99
Detector de temperatura FIRECLASS FC460H,125.00
"Detector de FUM adresabil FIRECLASS, FC460P",125.00
"Lampa de avertizare adresabila cu lumina alba, izolator incorporat, 15-32VDC, material antiinflamabil UL94, TEKNIM TFS-1183W",125.00
Sirena conventionala de incendiu pentru interior / exterior AH-03127-S,126.00
"Detector de fum optic si termic, Morley-IAS, adresabil, cu izolator, Honeywell HM-PTSE-I-AP",129.75
Sirena adresabila de interior cu avertizare luminoasa TEKNIM TFS-1181R,130.00
Detector optic de fum adresabil protocol Enea cu izolator inclus Inim ED100,131.00
"Lampa de avertizare adresabila cu lumina rosie, TEKNIM, TFS-1183R",135.00
Detector temperatura adresabil protocol Enea cu izolator inclus Inim ED200,138.00
Sirena adresabila cu flash pentru interior Unipos FD7204D,140.00
"Detector analog pentru fum si temperatura, adresabil, optic, Detnov DOTD-230A",141.00
Tester manual cu aerosoli pentru senzori de fum SMOKESABRE-01,144.00
"Modul adresabil inteligent I/0 pentru centrale detectie la incendiu TEKNIM, TFM-1221",145.00
"Sirena acustica, conventionala de incendiu, FIRECLASS H201",146.00
"Buton de incendiu adresabil, certificat EN54-11 Numens 660-001",149.00
"Sirena adresabila de interior cu avertizare luminoasa TEKNIM, TFS-1182R",149.00
"Sirena de exterior pentru sisteme de incendiu 115dB, conventionala TEKNIM, TFS-5792",149.00
Modul izolator de bucla FIRECLASS FC410LI,154.00
"Modul de conversie si alimentare detectori/bucle conventionale in adresabile, 24V, izolator integrat, TEKNIM TFM-1661",157.00
"Modul adresabil inteligent I/0, input-output compatibil cu seria TFP-12xx Teknim, TFM-1431",158.00
Sirena adresabila de interior cu avertizare luminoasa TEKNIM TFS-1182W,162.00
"Detector fum si temperatura, adresabil, protocol Enea, izolator inclus, Inim, ED300",164.00
Sirena incendiu de exterior Unipos SB112F,168.00
Detector de fum optic si temperatura adresabil FIRECLASS FC460PH,169.00
