Product,Price
"Sursa de alimentare in comutatie, 1.5 A, 12 V, Dahua, PFM320D-015",33.00
"Switch IMOU Ethernet cu 8 porturi RJ45, Plug and Play, 5VDC, 1A, LED, montare pe perete, SF108C",35.00
"Sina perforata cu profil omega 1115669, 2000mm, otel zincat galvanic",36.00
"Brat de montaj camere de supraveghere exterior, metal, 30 cm lungime",37.00
Sursa de alimentare de exterior IP 67 - 12V - 1.5Ah MEAN WELL LPH-18-12,37.50
"Incarcator retea SPACER, 18W, Interfata 1x USB Type C PD, 1x USB Quick Charge, SPAR-DUOQ-01",38.00
Switch 8 porturi 100MB/s Dahua PFS3008-8ET-L,39.00
"Suport de perete pentru camere de exterior bullet UNIVIEW, TR-WM06-C-IN",39.00
"Alimentator camera supraveghere 12V 5A in comutatie, GLO-12V5A",40.00
"Card stocare video Micro SD 64GB -V30, cu Adaptor - 92Mb/s, Hikvision HS-TF-C1STD-64G-A",40.00
"Sursa de alimentare in comutatie 24V 5A, Safer SAF-39PA",40.14
"Card memorie microSD 64GB pentru camere IP, Kingston CANVAS GO Plus, 170 Mbps, cu adaptor, U3, V30, SDCG3/64GB",41.00
"Suport de perete pentru camere, Dahua, rezistent la intemperii, PFB203W",41.00
"Switch 5 porturi Gigabit, Hikvision, DS-3E0505D-E",41.00
"Switch cu 5 porturi Gigabit, 5VDC, Plug and Play, Dahua PFS3005-5GT-L-V2",43.00
"Conector IP20 RJ45G, Cat.6a, pentru AWG23, Schrack, HSISR6SI3A",43.00
Switch 5 porturi TP-Link SF1005D,43.46
"Cablu UTP + Alimentare gata mufat 30 metri, UTPPOW30M",44.00
Set transmisie ePOE 400m-1000m over coaxial Dahua LR1002,44.00
"Sursa de alimentare in comutatie, 4.2 A, 12 V, eficienta 85%, POS Power, POS-50-12-C2",45.00
"Router wireless, 4 porturi, Wi-Fi 300 Mbps, 2.4 GHz, 2 antene externe 5 dBi, Imou, HR300",46.99
"Cablu de retea UTP, Cat5e, CCA, 100 metri, Safer, SAF-CAT5EUN922I-U-100M-CCA",47.00
Distribuitor alimentare CCTV 8 canale 6AH cu filtrare,48.00
"Card de memorie SD 128Gb Kingston Clasa 10, SDCS/128GB",48.99
"Sursa de alimentare Safer YDS5V-6A, 5V, 6A, 30W, LED",49.00
"Switch IMOU cu 5 porturi Gigabit, Plug and Play, Indicator LED, Protectie la supratensiune, SG105C",49.00
"Card MicroSD, 128GB, Clasa 10, citire 95 Mbps, scriere 38 Mbps, IMOU, MICROSD128-IMOU",49.00
"Sursa de alimentare 12 V, 10 Ah, 120 W, eficienta 88% SAF-ADZ120-C8",50.00
"Sursa de alimentare SAF-ADZ60-C4, 12 V, 5 Ah, 60 W, eficienta 88%",50.00
Alimentator compatibil DVR / NVR Hikvision 12V - 5Ah,50.99
"Sursa de alimentare in comutatie, 12V, 3A, Mean Well, LRS-35-12",51.00
"Switch cu 5 porturi Hikvision, Plug and Play, 5x RJ-45 10-100M, carcasa metal, DS-3E0105-O",51.00
"Sursa de alimentare in comutatie, 12V, 4.2A, Mean Well, LRS-50-12",52.00
"Sursa de alimentare 24V/1.5A, montaj pe sina DIN, Safer SAF-24-DIN1.5",52.00
Card de memorie pentru stocare video Micro SD 128 GB Clasa 10 Dahua TF-C100/128GB,53.00
"Sursa de alimentare in comutatie, 3.2 A, 24 V, eficienta 85%, POS Power, POS-75-24-C2",54.00
"Router wireless, 4 porturi, 2.4 GHz, 300 Mbps, 2 antene externe, Dahua, DH-N3",54.00
Suport montaj pe perete DAHUA PFB605W,54.00
"Switch Imou, 8x porturi Gigabit RJ45 10/100/1000Mbps, SG108C",54.00
"Sursa de alimentare in comutatie, 6 A, 12 V, eficienta 85%, POS Power, POS-75-12-C2",55.00
"CARD MicroSD ADATA 128GB Clasa 10 cu adaptor, AUSDX128GUICL10A1-RA1",56.00
"Switch cu 5 porturi Gigabit, 5VDC 1A, Plug and Play, Dahua PFS3005-5GT-V2",56.00
"Alimentator 12V - 5A cu 4 iesiri, SAF-60-12-4CH",57.00
Pachet 10 alimentatori 1Ah pentru camere de supraveghere alim1ax10,57.99
"Alimentator camera supraveghere 12V 3A, Safer SAF-12V3A-IP67",59.00
"Sursa de alimentare 12V 5A, cu backup, montaj in sina DIN SAF-DIN60-12UPSZ",59.00
"Switch 5 porturi 10/100/1000Mbps Tp-Link LS1005G, 3.7W, Plug and Play",62.00
"Extender cablu de retea FTP/UTP pasiv, RJ-45 prin cablul coaxial, max 250m, 100Mbps, EOC-200",62.00
"Solid State Disk (SSD) - 120 GB ADATA 2.5"", SATA III, ASU650SS-120GT-R",62.00
"Sursa de alimentare in comutatie, 4.2 A, 24 V, eficienta 85%, POS Power, POS-100-24-C2",62.00
"Sursa de alimentare in comutatie, 8.4 A, 12 V, eficienta 85%, POS Power, POS-100-12-C2",62.00
"Sursa de alimentare Mean Well HDR-15-12, 12V, 1.25A, 15W, montare pe sina DIN",63.00
"Sursa de alimentare 12V @ 4.2A / 50.4W, Dimensiuni reduse, Pentru sisteme de supraveghere si securitate, Delta PMT-12V50W2BA",63.00
"Sursa de alimentare in comutatie, 12V, 6A, Mean Well, LRS-75-12",64.00
Injector POE 24W 48V pasiv POE48V2A,64.00
Router wireless TP-LINK TL-WR820N 300Mb/s TL-WR820N,65.00
"SPLITTER PoE TP-LINK, 2 porturi Gigabit, PoE to 5V, 9V sau 12V, TL-POE10R",65.80
"Trepied Stativ foto - video, inaltime maxima 128 cm, ESP-EF109",66.00
"Wifi Range Extedender 300 Mbps, 2.4 Ghz Tp-Link TL-WA854RE",66.76
"Card memorie microSD 128GB pentru supraveghere video, Kingston CANVAS GO Plus, 170 Mbps, cu adaptor, U3, V30, SDCG3/128GB",67.00
"Sursa de alimentare 12V/2A, montaj pe sina DIN, Safer SAF-12V2A-DIN",67.00
"Switch cu 5 porturi Gigabit 10/100/1000 Mbps, plug-and-play Tp-Link TL-SG1005D",68.00
"Switch 5 porturi Gigabit metalic TP-Link, LS105G",68.00
"Sursa de alimentare 12V/2A, cu backup, montare pe sina DIN DR12024-01B",68.00
"Sursa de alimentare in comutatie, 6.25 A, 24 V, eficienta 86%, POS Power, POS-150-24-C2",68.00
"Injector PoE, 2 porturi, 24V, 24W, alb, Ubiquiti POE-24-24W-G-WH",69.00
"Cablu de retea UTP, Cat6, CCA, 100 metri, Safer, SAF-CAT6UN922I-C-100M-CCA",69.00
"Sursa de alimentare 3 amperi, 12V, Back-up, cutie din plastic, SAF-SMJN03-12-7Z",69.00
"Range Extender Wireless Xiaomi Mi Pro, 300 Mbps, 2 antene, negru, DVB4235GL",70.00
"Sursa de alimentare in comutatie, 12V, 8.5A, Mean Well, LRS-100-12",70.00
Injector POE Gigabit 48V 24W Tp-Link TL-POE4824G,71.00
"Sursa alimentare, 24V, 3.2 Ah (76.8W) tensiune reglabila 21.6 ~ 28.8V, Mean Well LRS-75-24",72.00
"Card microSD XC, Hikvision 64GB, Clasa 10, V30 HS-TF-M1STD-64G",72.00
"Alimentator camera supraveghere 12V 5A, Pentru Exterior, Safer SAF-12V5A-IP67",73.00
Sursa de alimentare de exterior IP 67 - 12V - 5Ah Mean Well LPV-60-12,74.00
"Sursa de alimentare 12Vcc/2A, montaj pe sina DIN DR12024-01C",75.00
"Sursa de alimentare in comutatie, 12.5 A, 12 V, eficienta 86%, POS Power, POS-150-12-C2",76.00
"Switch cu 8 porturi Gigabit 10/100/1000 Mbps, Fara management, simplu de instalat, robust, Dahua PFS3008-8GT-L-V2",76.00
Pachet 10 alimentatori 2A pentru camere de supraveghere alim2ax10,77.99
"Suport pentru prinderea pe perete a camerelor Dome Hikvision, din metal si plastic, DS-1294ZJ-PT",78.00
"Sursa de alimentare 12V/5A, montaj pe sina DIN, Safer SAF-12-DIN5-P",78.00
Injector POE 48V 24W Gigabit 1000 Mb/s POE-48-24W-G,78.00
Sursa de alimentare cu backup liniara 12V 3Ah configurabila NO/NC AC-12DC3A-P,79.00
Sursa alimentare cu Back-up 12V-3A ZTP1203B,79.00
